STATE,DESTINATION,COUNTY/LOCATION DEFINED,SEASON BEGIN,SEASON END,Lodging Rate,M&IE,Effective Date
,Standard CONUS rate applies to all counties not specifically listed. Cities not listed may be located in a listed county.,,,,$91,$51,"October 1, 2016"
AL,Birmingham,Jefferson / Shelby,,,$96,$59,"October 1, 2016"
AL,Gulf Shores,Baldwin,October 1,February 28,$105,$64,"October 1, 2016"
AL,Gulf Shores,Baldwin,March 1,May 31,$122,$64,"October 1, 2016"
AL,Gulf Shores,Baldwin,June 1,July 31,$156,$64,"October 1, 2016"
AL,Gulf Shores,Baldwin,August 1,September 30,$105,$64,"October 1, 2016"
AL,Mobile,Mobile,October 1,December 31,$91,$59,"October 1, 2016"
AL,Mobile,Mobile,January 1,February 28,$99,$59,"October 1, 2016"
AL,Mobile,Mobile,March 1,September 30,$91,$59,"October 1, 2016"
AR,Hot Springs,Garland,,,$101,$59,"October 1, 2016"
AR,Little Rock,Pulaski,,,$94,$59,"October 1, 2016"
AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,October 1,October 31,$143,$64,"October 1, 2016"
AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,November 1,February 28,$91,$64,"October 1, 2016"
AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,March 1,June 30,$127,$64,"October 1, 2016"
AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,July 1,September 30,$143,$64,"October 1, 2016"
AZ,Kayenta,Navajo,October 1,October 31,$131,$59,"October 1, 2016"
AZ,Kayenta,Navajo,November 1,April 30,$103,$59,"October 1, 2016"
AZ,Kayenta,Navajo,May 1,September 30,$131,$59,"October 1, 2016"
AZ,Phoenix / Scottsdale,Maricopa,October 1,December 31,$118,$59,"October 1, 2016"
AZ,Phoenix / Scottsdale,Maricopa,January 1,March 31,$169,$59,"October 1, 2016"
AZ,Phoenix / Scottsdale,Maricopa,April 1,May 31,$130,$59,"October 1, 2016"
AZ,Phoenix / Scottsdale,Maricopa,June 1,August 31,$91,$59,"October 1, 2016"
AZ,Phoenix / Scottsdale,Maricopa,September 1,September 30,$118,$59,"October 1, 2016"
AZ,Sedona,City Limits of Sedona,October 1,February 28,$153,$74,"October 1, 2016"
AZ,Sedona,City Limits of Sedona,March 1,April 30,$193,$74,"October 1, 2016"
AZ,Sedona,City Limits of Sedona,May 1,September 30,$153,$74,"October 1, 2016"
AZ,Tucson,Pima,October 1,December 31,$91,$59,"October 1, 2016"
AZ,Tucson,Pima,January 1,February 28,$113,$59,"October 1, 2016"
AZ,Tucson,Pima,March 1,September 30,$91,$59,"October 1, 2016"
CA,Antioch / Brentwood / Concord,Contra Costa,,,$145,$64,"October 1, 2016"
CA,Bakersfield / Ridgecrest,Kern,,,$96,$59,"October 1, 2016"
CA,Barstow / Ontario / Victorville,San Bernardino,,,$92,$54,"October 1, 2016"
CA,Death Valley,Inyo ,,,$106,$64,"October 1, 2016"
CA,Eureka / Arcata / McKinleyville,Humboldt,October 1,June 30,$100,$74,"October 1, 2016"
CA,Eureka / Arcata / McKinleyville,Humboldt,July 1,August 31,$126,$74,"October 1, 2016"
CA,Eureka / Arcata / McKinleyville,Humboldt,September 1,September 30,$100,$74,"October 1, 2016"
CA,Fresno,Fresno,,,$97,$64,"October 1, 2016"
CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB less the city of Santa Monica,October 1,December 31,$158,$64,"October 1, 2016"
CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB less the city of Santa Monica,January 1,March 31,$175,$64,"October 1, 2016"
CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB less the city of Santa Monica,April 1,September 30,$158,$64,"October 1, 2016"
CA,Mammoth Lakes,Mono,,,$133,$74,"October 1, 2016"
CA,Mill Valley / San Rafael / Novato,Marin,October 1,October 31,$175,$74,"October 1, 2016"
CA,Mill Valley / San Rafael / Novato,Marin,November 1,May 31,$149,$74,"October 1, 2016"
CA,Mill Valley / San Rafael / Novato,Marin,June 1,September 30,$175,$74,"October 1, 2016"
CA,Monterey,Monterey,October 1,June 30,$140,$74,"October 1, 2016"
CA,Monterey,Monterey,July 1,August 31,$188,$74,"October 1, 2016"
CA,Monterey,Monterey,September 1,September 30,$140,$74,"October 1, 2016"
CA,Napa,Napa,October 1,October 31,$207,$69,"October 1, 2016"
CA,Napa,Napa,November 1,April 30,$158,$69,"October 1, 2016"
CA,Napa,Napa,May 1,September 30,$207,$69,"October 1, 2016"
CA,Oakhurst,Madera ,October 1,May 31,$94,$64,"October 1, 2016"
