ID,STATE,DESTINATION,COUNTY/LOCATION DEFINED,SEASON BEGIN,SEASON END,Lodging Rate,M&IE,Effective Date
,,Standard CONUS rate applies to all counties not specifically listed. Cities not listed may be located in a listed county.,,,,$93,$51,"October 1, 2017"
1,AL,Birmingham,Jefferson / Shelby,,,$101,$59,"October 1, 2017"
2,AL,Gulf Shores,Baldwin,October 1,February 28,$106,$64,"October 1, 2017"
2,AL,Gulf Shores,Baldwin,March 1,May 31,$125,$64,"October 1, 2017"
2,AL,Gulf Shores,Baldwin,June 1,July 31,$160,$64,"October 1, 2017"
2,AL,Gulf Shores,Baldwin,August 1,September 30,$106,$64,"October 1, 2017"
460,AL,Mobile,Mobile,October 1,December 31,$93,$59,"October 1, 2017"
460,AL,Mobile,Mobile,January 1,February 28,$98,$59,"October 1, 2017"
460,AL,Mobile,Mobile,March 1,September 30,$93,$59,"October 1, 2017"
6,AR,Hot Springs,Garland,,,$104,$59,"October 1, 2017"
7,AR,Little Rock,Pulaski,,,$96,$59,"October 1, 2017"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,October 1,October 31,$142,$64,"October 1, 2017"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,November 1,February 28,$93,$64,"October 1, 2017"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,March 1,April 30,$110,$64,"October 1, 2017"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,May 1,September 30,$142,$64,"October 1, 2017"
8,AZ,Kayenta,Navajo,October 1,October 31,$126,$59,"October 1, 2017"
8,AZ,Kayenta,Navajo,November 1,February 28,$104,$59,"October 1, 2017"
8,AZ,Kayenta,Navajo,March 1,September 30,$126,$59,"October 1, 2017"
10,AZ,Phoenix / Scottsdale,Maricopa,October 1,December 31,$124,$59,"October 1, 2017"
10,AZ,Phoenix / Scottsdale,Maricopa,January 1,March 31,$174,$59,"October 1, 2017"
10,AZ,Phoenix / Scottsdale,Maricopa,April 1,May 31,$133,$59,"October 1, 2017"
10,AZ,Phoenix / Scottsdale,Maricopa,June 1,August 31,$93,$59,"October 1, 2017"
10,AZ,Phoenix / Scottsdale,Maricopa,September 1,September 30,$124,$59,"October 1, 2017"
11,AZ,Sedona,City limits of Sedona,,,$162,$74,"October 1, 2017"
12,AZ,Tucson,Pima,October 1,December 31,$93,$59,"October 1, 2017"
