ID,STATE,DESTINATION,COUNTY/LOCATION DEFINED,SEASON BEGIN,SEASON END,Lodging Rate,M&IE,Effective Date
,,Standard CONUS rate applies to all counties not specifically listed. Cities not listed may be located in a listed county.,,,,110,68,"October 1, 2025"
1,AL,Birmingham,Jefferson,,,126,80,"October 1, 2025"
2,AL,Gulf Shores,Baldwin,October 1,February 28,134,74,"October 1, 2025"
2,AL,Gulf Shores,Baldwin,March 1,May 31,163,74,"October 1, 2025"
2,AL,Gulf Shores,Baldwin,June 1,July 31,216,74,"October 1, 2025"
2,AL,Gulf Shores,Baldwin,August 1,September 30,134,74,"October 1, 2025"
3,AL,Huntsville,Madison,October 1,March 31,141,74,"October 1, 2025"
3,AL,Huntsville,Madison,April 1,July 31,134,74,"October 1, 2025"
3,AL,Huntsville,Madison,August 1,September 30,141,74,"October 1, 2025"
460,AL,Mobile,Mobile,,,114,74,"October 1, 2025"
6,AR,Hot Springs,Garland,,,114,68,"October 1, 2025"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,October 1,October 31,144,80,"October 1, 2025"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,November 1,February 28,110,80,"October 1, 2025"
9,AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,March 1,September 30,144,80,"October 1, 2025"
8,AZ,Kayenta,Navajo,,,145,74,"October 1, 2025"
10,AZ,Phoenix / Scottsdale,Maricopa,October 1,January 31,160,86,"October 1, 2025"
10,AZ,Phoenix / Scottsdale,Maricopa,February 1,March 31,229,86,"October 1, 2025"
10,AZ,Phoenix / Scottsdale,Maricopa,April 1,May 31,161,86,"October 1, 2025"
10,AZ,Phoenix / Scottsdale,Maricopa,June 1,August 31,113,86,"October 1, 2025"
10,AZ,Phoenix / Scottsdale,Maricopa,September 1,September 30,160,86,"October 1, 2025"
11,AZ,Sedona,City Limits of Sedona,October 1,December 31,213,92,"October 1, 2025"
11,AZ,Sedona,City Limits of Sedona,January 1,February 28,164,92,"October 1, 2025"
11,AZ,Sedona,City Limits of Sedona,March 1,April 30,274,92,"October 1, 2025"
11,AZ,Sedona,City Limits of Sedona,May 1,August 31,183,92,"October 1, 2025"
11,AZ,Sedona,City Limits of Sedona,September 1,September 30,213,92,"October 1, 2025"
12,AZ,Tucson,Pima,October 1,December 31,123,80,"October 1, 2025"
12,AZ,Tucson,Pima,January 1,March 31,171,80,"October 1, 2025"
12,AZ,Tucson,Pima,April 1,September 30,123,80,"October 1, 2025"
14,CA,Antioch / Brentwood / Concord,Contra Costa,,,147,86,"October 1, 2025"
481,CA,Bakersfield / Ridgecrest,Kern,,,132,74,"October 1, 2025"
16,CA,Barstow / Ontario / Victorville,San Bernardino,,,124,86,"October 1, 2025"
20,CA,Death Valley,Inyo / NAWS China Lake,,,142,80,"October 1, 2025"
