State/Country,Location,Season Begin,Season End,Lodging,Local Meal Rate,Proportional Meal Rate,Local Incidental,Footnote Number,Footnote Rate,Maximum Per Diem,Effective Date,Publication Date
ALASKA,ADAK,05/01/2019,09/01/2019,270.0,46.0,30.0,11.0,,,327.0,09/01/2018,01/01/2019
ALASKA,ADAK,09/02/2019,04/30/2019,192.0,46.0,30.0,11.0,,,249.0,09/01/2018,01/01/2019
ALASKA,ANCHORAGE [INCL NAV RES],05/01/2019,08/31/2019,229.0,104.0,59.0,26.0,,,359.0,09/01/2018,01/01/2019
ALASKA,ANCHORAGE [INCL NAV RES],09/01/2019,04/30/2019,199.0,104.0,59.0,26.0,,,329.0,09/01/2018,01/01/2019
ALASKA,BARROW,04/01/2019,08/31/2019,320.0,108.0,61.0,27.0,,,455.0,09/01/2018,01/01/2019
ALASKA,BARROW,09/01/2019,03/31/2019,252.0,108.0,61.0,27.0,,,387.0,09/01/2018,01/01/2019
ALASKA,BARTER ISLAND LRRS,01/01/2019,12/31/2019,120.0,78.0,46.0,19.0,,,217.0,09/01/2018,01/01/2019
ALASKA,BETHEL,01/01/2019,12/31/2019,219.0,86.0,50.0,22.0,,,327.0,03/01/2017,01/01/2019
ALASKA,BETTLES,01/01/2019,12/31/2019,175.0,64.0,39.0,15.0,,,254.0,09/01/2018,01/01/2019
ALASKA,CAPE LISBURNE LRRS,01/01/2019,12/31/2019,120.0,78.0,46.0,19.0,,,217.0,09/01/2018,01/01/2019
ALASKA,CAPE NEWENHAM LRRS,01/01/2019,12/31/2019,120.0,78.0,46.0,19.0,,,217.0,09/01/2018,01/01/2019
ALASKA,CAPE ROMANZOF LRRS,01/01/2019,12/31/2019,120.0,78.0,46.0,19.0,,,217.0,09/01/2018,01/01/2019
ALASKA,CLEAR AB,01/01/2019,12/31/2019,120.0,78.0,46.0,19.0,,,217.0,09/01/2018,01/01/2019
ALASKA,COLD BAY LRRS,01/01/2019,12/31/2019,120.0,78.0,46.0,19.0,,,217.0,09/01/2018,01/01/2019
ALASKA,COLD BAY,01/01/2019,12/31/2019,110.0,71.0,43.0,18.0,,,199.0,09/01/2018,01/01/2019
ALASKA,COLDFOOT,01/01/2019,12/31/2019,165.0,56.0,35.0,14.0,,,235.0,10/01/2006,01/01/2019
ALASKA,COPPER CENTER,05/15/2019,09/15/2019,169.0,67.0,41.0,17.0,,,253.0,03/01/2017,01/01/2019
ALASKA,COPPER CENTER,09/16/2019,05/14/2019,97.0,67.0,41.0,17.0,,,181.0,03/01/2017,01/01/2019
ALASKA,CORDOVA,01/01/2019,12/31/2019,140.0,94.0,54.0,23.0,,,257.0,09/01/2018,01/01/2019
ALASKA,CRAIG,04/01/2019,09/30/2019,254.0,63.0,39.0,15.0,,,332.0,03/01/2017,01/01/2019
ALASKA,CRAIG,10/01/2019,03/31/2019,90.0,63.0,39.0,15.0,,,168.0,03/01/2017,01/01/2019
ALASKA,DEADHORSE,01/01/2019,12/31/2019,170.0,44.0,29.0,11.0,,,225.0,09/01/2018,01/01/2019
ALASKA,DELTA JUNCTION,05/01/2019,09/30/2019,169.0,73.0,44.0,18.0,,,260.0,09/01/2018,01/01/2019
ALASKA,DELTA JUNCTION,10/01/2019,04/30/2019,139.0,73.0,44.0,18.0,,,230.0,09/01/2018,01/01/2019
ALASKA,DENALI NATIONAL PARK,06/01/2019,08/31/2019,185.0,69.0,42.0,17.0,,,271.0,03/01/2017,01/01/2019
ALASKA,DENALI NATIONAL PARK,09/01/2019,05/31/2019,139.0,69.0,42.0,17.0,,,225.0,03/01/2017,01/01/2019
ALASKA,DILLINGHAM,04/01/2019,09/30/2019,285.0,102.0,58.0,26.0,,,413.0,09/01/2018,01/01/2019
ALASKA,DILLINGHAM,10/01/2019,03/31/2019,245.0,102.0,58.0,26.0,,,373.0,09/01/2018,01/01/2019
ALASKA,DUTCH HARBOR-UNALASKA,01/01/2019,12/31/2019,142.0,98.0,56.0,25.0,,,265.0,09/01/2018,01/01/2019
ALASKA,EARECKSON AIR STATION,01/01/2019,12/31/2019,146.0,59.0,37.0,15.0,,,220.0,07/01/2016,01/01/2019
ALASKA,EIELSON AFB,05/16/2019,09/15/2019,154.0,78.0,46.0,19.0,,,251.0,09/01/2018,01/01/2019
ALASKA,EIELSON AFB,09/16/2019,05/15/2019,75.0,78.0,46.0,19.0,,,172.0,09/01/2018,01/01/2019
ALASKA,ELFIN COVE,01/01/2019,12/31/2019,275.0,69.0,42.0,17.0,,,361.0,03/01/2017,01/01/2019
ALASKA,ELMENDORF AFB,05/01/2019,08/31/2019,229.0,104.0,59.0,26.0,,,359.0,09/01/2018,01/01/2019
ALASKA,ELMENDORF AFB,09/01/2019,04/30/2019,199.0,104.0,59.0,26.0,,,329.0,09/01/2018,01/01/2019
ALASKA,FAIRBANKS,05/16/2019,09/15/2019,154.0,78.0,46.0,19.0,,,251.0,09/01/2018,01/01/2019
ALASKA,FAIRBANKS,09/16/2019,05/15/2019,75.0,78.0,46.0,19.0,,,172.0,09/01/2018,01/01/2019
ALASKA,FOOTLOOSE,01/01/2019,12/31/2019,175.0,15.0,15.0,3.0,,,193.0,10/01/2002,01/01/2019
ALASKA,FORT YUKON LRRS,01/01/2019,12/31/2019,120.0,78.0,46.0,19.0,,,217.0,09/01/2018,01/01/2019
ALASKA,FT. GREELY,05/01/2019,09/30/2019,169.0,73.0,44.0,18.0,,,260.0,09/01/2018,01/01/2019
ALASKA,FT. GREELY,10/01/2019,04/30/2019,139.0,73.0,44.0,18.0,,,230.0,09/01/2018,01/01/2019
ALASKA,FT. RICHARDSON,05/01/2019,08/31/2019,229.0,104.0,59.0,26.0,,,359.0,09/01/2018,01/01/2019
ALASKA,FT. RICHARDSON,09/01/2019,04/30/2019,199.0,104.0,59.0,26.0,,,329.0,09/01/2018,01/01/2019
ALASKA,FT. WAINWRIGHT,05/16/2019,09/15/2019,154.0,78.0,46.0,19.0,,,251.0,09/01/2018,01/01/2019
ALASKA,FT. WAINWRIGHT,09/16/2019,05/15/2019,75.0,78.0,46.0,19.0,,,172.0,09/01/2018,01/01/2019
ALASKA,GAMBELL,01/01/2019,12/31/2019,133.0,44.0,29.0,11.0,,,188.0,09/01/2018,01/01/2019
ALASKA,GLENNALLEN,05/15/2019,09/15/2019,169.0,67.0,41.0,17.0,,,253.0,03/01/2017,01/01/2019
ALASKA,GLENNALLEN,09/16/2019,05/14/2019,97.0,67.0,41.0,17.0,,,181.0,03/01/2017,01/01/2019
ALASKA,HAINES,01/01/2019,12/31/2019,107.0,81.0,48.0,20.0,,,208.0,01/01/2011,01/01/2019
ALASKA,HEALY,06/01/2019,08/31/2019,185.0,69.0,42.0,17.0,,,271.0,03/01/2017,01/01/2019
ALASKA,HEALY,09/01/2019,05/31/2019,139.0,69.0,42.0,17.0,,,225.0,03/01/2017,01/01/2019
ALASKA,HOMER,03/01/2019,09/30/2019,180.0,95.0,55.0,23.0,,,298.0,09/01/2018,01/01/2019
ALASKA,HOMER,10/01/2019,02/28/2019,100.0,95.0,55.0,23.0,,,218.0,09/01/2018,01/01/2019
ALASKA,JB ELMENDORF-RICHARDSON,05/01/2019,08/31/2019,229.0,104.0,59.0,26.0,,,359.0,09/01/2018,01/01/2019
ALASKA,JB ELMENDORF-RICHARDSON,09/01/2019,04/30/2019,199.0,104.0,59.0,26.0,,,329.0,09/01/2018,01/01/2019
ALASKA,JUNEAU,04/16/2019,09/15/2019,189.0,106.0,60.0,27.0,,,322.0,09/01/2018,01/01/2019
